timestamp,voltage,current,power_w,energy_wh,cost_rs
2026-06-10 02:54:01,230.7,2.24,438.5,36.542,0.2741
2026-06-10 02:59:01,230.6,2.01,394.5,32.872,0.2465
2026-06-10 03:04:01,230.5,1.6,313.1,26.088,0.1957
2026-06-10 03:09:01,230.8,2.53,496.1,41.34,0.3101
2026-06-10 03:14:01,230.8,2.59,507.1,42.261,0.317
2026-06-10 03:19:01,230.7,2.47,485.4,40.447,0.3034
2026-06-10 03:24:01,230.7,2.21,433.1,36.089,0.2707
2026-06-10 03:29:01,230.8,2.65,519.3,43.279,0.3246
2026-06-10 03:34:01,230.8,2.66,521.0,43.416,0.3256
2026-06-10 03:39:01,230.8,2.54,498.0,41.501,0.3113
2026-06-10 03:44:01,230.9,2.87,563.9,46.995,0.3525
2026-06-10 03:49:01,230.5,1.55,304.1,25.34,0.19
2026-06-10 03:54:01,230.9,2.95,579.6,48.297,0.3622
2026-06-10 03:59:01,230.8,2.69,527.4,43.947,0.3296
2026-06-10 04:04:01,230.7,2.31,453.2,37.77,0.2833
2026-06-10 04:09:01,230.8,2.61,511.0,42.586,0.3194
2026-06-10 04:14:01,230.6,2.05,401.9,33.493,0.2512
2026-06-10 04:19:01,230.5,1.59,312.3,26.028,0.1952
2026-06-10 04:24:01,230.8,2.5,491.2,40.93,0.307
2026-06-10 04:29:01,230.9,2.94,576.4,48.032,0.3602
2026-06-10 04:34:01,230.8,2.57,504.4,42.029,0.3152
2026-06-10 04:39:01,230.5,1.66,324.4,27.033,0.2027
2026-06-10 04:44:01,230.8,2.55,500.8,41.732,0.313
2026-06-10 04:49:01,230.8,2.63,516.6,43.048,0.3229
2026-06-10 04:54:01,230.7,2.19,429.6,35.8,0.2685
2026-06-10 04:59:01,230.6,2.02,395.9,32.992,0.2474
2026-06-10 05:04:01,230.7,2.36,463.0,38.581,0.2894
2026-06-10 05:09:01,230.6,1.89,369.6,30.799,0.231
2026-06-10 05:14:01,230.7,2.44,479.2,39.934,0.2995
2026-06-10 05:19:01,230.7,2.26,443.7,36.979,0.2773
2026-06-10 05:24:01,230.5,1.79,351.4,29.284,0.2196
2026-06-10 05:29:01,230.7,2.26,442.8,36.902,0.2768
2026-06-10 05:34:01,230.9,2.98,584.3,48.692,0.3652
2026-06-10 05:39:01,230.7,2.28,447.0,37.25,0.2794
2026-06-10 05:44:01,230.8,2.81,551.3,45.945,0.3446
2026-06-10 05:49:01,230.8,2.73,536.2,44.681,0.3351
2026-06-10 05:54:01,230.8,2.7,530.3,44.191,0.3314
2026-06-10 05:59:01,230.5,1.67,326.5,27.206,0.204
2026-06-10 06:04:01,230.6,2.1,411.2,34.269,0.257
2026-06-10 06:09:01,230.6,1.98,388.9,32.407,0.2431
2026-06-10 06:14:01,230.5,1.64,322.0,26.832,0.2012
2026-06-10 06:19:01,230.7,2.22,434.5,36.207,0.2716
2026-06-10 06:24:01,230.6,2.12,415.1,34.596,0.2595
2026-06-10 06:29:01,230.5,1.69,331.0,27.58,0.2069
2026-06-10 06:34:01,230.7,2.38,466.9,38.909,0.2918
2026-06-10 06:39:01,230.6,2.03,397.5,33.125,0.2484
2026-06-10 06:44:01,230.6,1.99,390.8,32.563,0.2442
2026-06-10 06:49:01,230.7,2.5,489.5,40.793,0.3059
2026-06-10 06:54:01,230.6,2.12,416.2,34.687,0.2602
2026-06-10 06:59:01,230.5,1.74,341.4,28.452,0.2134
2026-06-10 07:04:01,230.6,2.16,424.1,35.341,0.2651
2026-06-10 07:09:01,230.6,1.97,385.4,32.118,0.2409
2026-06-10 07:14:01,230.5,1.83,358.2,29.847,0.2239
2026-06-10 07:19:01,230.9,2.87,563.0,46.917,0.3519
2026-06-10 07:24:01,230.9,2.94,577.7,48.145,0.3611
2026-06-10 07:29:01,230.6,2.12,415.0,34.579,0.2593
2026-06-10 07:34:01,230.5,1.55,304.3,25.36,0.1902
2026-06-10 07:39:01,230.8,2.69,527.3,43.945,0.3296
2026-06-10 07:44:01,230.8,2.72,534.2,44.514,0.3339
2026-06-10 07:49:01,230.6,1.85,362.5,30.212,0.2266
2026-06-10 07:54:01,230.8,2.59,508.8,42.401,0.318
2026-06-10 07:59:01,230.7,2.28,446.1,37.176,0.2788
2026-06-10 08:04:01,230.7,2.23,437.6,36.468,0.2735
2026-06-10 08:09:01,230.9,2.91,570.3,47.529,0.3565
2026-06-10 08:14:01,230.8,2.64,517.8,43.151,0.3236
2026-06-10 08:19:01,230.6,2.06,403.0,33.586,0.2519
2026-06-10 08:24:01,230.7,2.46,481.5,40.129,0.301
2026-06-10 08:29:01,230.6,2.1,411.5,34.295,0.2572
2026-06-10 08:34:01,230.5,1.54,301.6,25.136,0.1885
2026-06-10 08:39:01,230.9,2.84,556.4,46.37,0.3478
2026-06-10 08:44:01,230.7,2.38,467.5,38.96,0.2922
2026-06-10 08:49:01,230.7,2.45,480.7,40.055,0.3004
2026-06-10 08:54:01,230.6,2.0,391.3,32.607,0.2446
2026-06-10 08:59:01,230.5,1.8,352.6,29.384,0.2204
2026-06-10 09:04:01,230.5,1.66,324.8,27.066,0.203
2026-06-10 09:09:01,230.7,2.36,462.1,38.505,0.2888
2026-06-10 09:14:01,230.6,1.98,388.3,32.356,0.2427
2026-06-10 09:19:01,230.9,2.97,583.8,48.652,0.3649
2026-06-10 09:24:01,230.5,1.59,311.9,25.99,0.1949
2026-06-10 09:29:01,230.6,2.04,399.0,33.254,0.2494
2026-06-10 09:34:01,230.7,2.19,429.5,35.79,0.2684
2026-06-10 09:39:01,230.6,1.88,368.6,30.716,0.2304
2026-06-10 09:44:01,230.6,1.94,381.0,31.751,0.2381
2026-06-10 09:49:01,230.5,1.71,335.5,27.955,0.2097
2026-06-10 09:54:01,230.7,2.31,452.2,37.683,0.2826
2026-06-10 09:59:01,230.8,2.8,549.3,45.772,0.3433
2026-06-10 10:04:01,230.5,1.75,343.7,28.644,0.2148
2026-06-10 10:09:01,230.5,1.51,296.3,24.692,0.1852
2026-06-10 10:14:01,230.7,2.25,441.1,36.759,0.2757
2026-06-10 10:19:01,230.6,1.94,380.9,31.738,0.238
2026-06-10 10:24:01,230.6,2.08,407.7,33.972,0.2548
2026-06-10 10:29:01,230.6,1.93,377.4,31.448,0.2359
2026-06-10 10:34:01,230.9,2.9,568.5,47.372,0.3553
2026-06-10 10:39:01,230.5,1.51,295.0,24.583,0.1844
2026-06-10 10:44:01,230.5,1.63,318.7,26.555,0.1992
2026-06-10 10:49:01,230.8,2.82,552.9,46.073,0.3455
2026-06-10 10:54:01,230.7,2.41,472.1,39.343,0.2951
2026-06-10 10:59:01,230.6,1.87,365.7,30.471,0.2285
2026-06-10 11:04:01,230.5,1.7,332.2,27.685,0.2076
2026-06-10 11:09:01,230.7,2.4,471.6,39.298,0.2947
2026-06-10 11:14:01,230.7,2.42,475.2,39.603,0.297
2026-06-10 11:19:01,230.9,2.84,557.6,46.464,0.3485
2026-06-10 11:24:01,230.5,1.82,357.3,29.778,0.2233
2026-06-10 11:29:01,230.5,1.81,354.3,29.525,0.2214
2026-06-10 11:34:01,230.5,1.54,302.4,25.2,0.189
2026-06-10 11:39:01,230.6,1.9,372.8,31.069,0.233
2026-06-10 11:44:01,230.8,2.64,517.9,43.154,0.3237
2026-06-10 11:49:01,230.6,1.89,370.6,30.88,0.2316
2026-06-10 11:54:01,230.5,1.67,327.1,27.259,0.2044
2026-06-10 11:59:01,230.7,2.46,482.6,40.214,0.3016
2026-06-10 12:04:01,230.7,2.29,448.3,37.355,0.2802
2026-06-10 12:09:01,230.6,1.96,383.6,31.97,0.2398
2026-06-10 12:14:01,230.9,2.85,559.4,46.615,0.3496
2026-06-10 12:19:01,230.8,2.8,548.5,45.712,0.3428
2026-06-10 12:24:01,230.8,2.51,492.2,41.021,0.3077
2026-06-10 12:29:01,230.5,1.76,344.0,28.67,0.215
2026-06-10 12:34:01,230.8,2.76,540.7,45.056,0.3379
2026-06-10 12:39:01,230.7,2.48,487.1,40.589,0.3044
